,0
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Scrum',)",Scrum
"('Hybrid: Scrum and Waterfall',)",RAD
"('Hybrid: Scrum and Waterfall',)",Scrum
"('Scrum',)",Scrum
"('RAD',)",RAD
"('Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Kanban',)",Kanban
"('Kanban',)",Kanban
"('Kanban',)",Kanban
"('Hybrid: Scrum and Kanban',)",Scrum
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Waterfall',)",Scrum
"('Scrum',)",Scrum
"('Kanban',)",Kanban
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Waterfall',)",Hybrid: Scrum and Waterfall
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Hybrid: Scrum and Waterfall',)",RAD
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Kanban',)",Hybrid: Scrum and Kanban
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Spiral',)",Spiral
"('RAD',)",RAD
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
"('Scrum',)",Scrum
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Kanban',)",Spiral
"('Kanban',)",Kanban
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Scrum',)",Scrum
