,0
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Spiral',)",Spiral
"('Spiral',)",Spiral
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Spiral',)",Kanban
"('RAD',)",RAD
"('Scrum',)",Scrum
"('Scrum',)",RAD
"('Waterfall',)",Hybrid: Scrum and Waterfall
"('Scrum',)",RAD
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Kanban',)",Kanban
"('Waterfall',)",Scrum
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Hybrid: Scrum and Waterfall',)",RAD
"('Waterfall',)",Waterfall
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Kanban',)",Kanban
"('Kanban',)",Scrum
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('RAD ',)",Spiral
"('Hybrid: Scrum and Waterfall',)",Waterfall
"('Waterfall',)",Hybrid: Scrum and Waterfall
"('Scrum',)",Scrum
"('RAD',)",RAD
"('Waterfall',)",Waterfall
"('Waterfall',)",Spiral
"('Spiral',)",Hybrid: Scrum and Waterfall
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
"('Spiral',)",Hybrid: Scrum and Waterfall
"('Hybrid: Scrum and Waterfall',)",Waterfall
"('Spiral',)",Spiral
