,0
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Hybrid: Scrum and Kanban',)",Hybrid: Scrum and Kanban
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Spiral',)",Spiral
"('Spiral',)",Spiral
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Spiral',)",Spiral
"('RAD',)",RAD
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('Scrum',)",Scrum
"('Scrum',)",Scrum
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Kanban',)",Kanban
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Hybrid: Scrum and Waterfall',)",Hybrid: Scrum and Waterfall
"('Waterfall',)",Waterfall
"('Hybrid: Scrum and Waterfall',)",Scrum
"('Kanban',)",Hybrid: Scrum and Waterfall
"('Kanban',)",Kanban
"('Hybrid: Scrum and Waterfall',)",Kanban
"('RAD ',)",Scrum
"('Hybrid: Scrum and Waterfall',)",RAD
"('Waterfall',)",Waterfall
"('Scrum',)",Hybrid: Scrum and Kanban
"('RAD',)",RAD
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('Spiral',)",Scrum
"('Waterfall',)",Waterfall
"('RAD',)",RAD
"('Waterfall',)",Waterfall
"('Waterfall',)",Waterfall
"('Kanban',)",Kanban
"('Spiral',)",Scrum
"('Hybrid: Scrum and Waterfall',)",Waterfall
"('Spiral',)",Scrum
